Country;2024;2025
EU;13,48;19,95
Denmark;27,58;42,03
Finland;24,37;37,82
Sweden;25,09;35,04
Belgium;24,71;34,54
Luxembourg;23,73;33,61
Netherlands (?);23,06;33,21
Austria;20,27;29,95
Germany;19,75;25,97
Estonia;13,89;23,4
Slovenia;20,89;21,61
Malta;17,3;21,56
Lithuania;8,76;21,3
Spain;11,31;20,27
Ireland;14,9;19,64
France;9,91;18,16
Slovakia;10,78;18
Czechia;11,26;17,6
Italy;8,2;16,4
Croatia;11,76;15,19
Latvia;8,83;12,21
Portugal;8,63;11,54
Hungary;7,41;10,37
Cyprus;7,9;9,27
Greece;9,81;8,93
Bulgaria;6,47;8,55
Poland;5,9;8,36
Romania;3,07;5,21
Norway;20,77;28,89
Montenegro;7,91;10,05
Serbia;6,95;10,12
Bosnia and Herzegovina;6,36;10,78
Turkiye;4,42;7,41
