Year;Type;Country;Activity;Sex;Age;Fatal;Time;Species
1999;Unprovoked;USA;Swimming;M;Child;N;Afternoon;Medium
1986;Unprovoked;USA;Swimming;F;Child;N;Afternoon;Medium
2016;Unprovoked;USA;Swimming;F;Child;N;Afternoon;Small
2001;Unprovoked;USA;Surfing;M;Child;N;Afternoon;Small
2012;Unprovoked;USA;Swimming;M;Child;N;Evening;Medium
2013;Unprovoked;USA;Swimming;M;Child;N;Evening;Small
2015;Unprovoked;USA;Swimming;M;Child;N;Midday;Medium
2005;Unprovoked;VANUATU;Swimming;F;Child;Y;Afternoon;Medium
2006;Unprovoked;USA;Swimming;F;Child;N;Afternoon;Small
1996;Unprovoked;AUSTRALIA;Swimming;M;Child;N;Afternoon;Medium
1950;Unprovoked;INDONESIA;Swimming;M;Child;Y;Afternoon;Medium
2004;Unprovoked;USA;Swimming;M;Child;N;Afternoon;Small
2014;Unprovoked;USA;Swimming;M;Child;N;Afternoon;Small
1965;Unprovoked;PALAU;Swimming;M;Child;N;Afternoon;Medium
2008;Unprovoked;USA;Surfing;M;Child;N;Afternoon;Small
1955;Unprovoked;PAPUA NEW GUINEA;Swimming;M;Child;N;Afternoon;Small
1958;Unprovoked;USA;Swimming;M;Child;N;Afternoon;Small
1966;Unprovoked;USA;Swimming;M;Child;N;Afternoon;Small
2004;Unprovoked;USA;Swimming;M;Child;N;Afternoon;Small
2012;Unprovoked;USA;Surfing;F;Child;N;Evening;Small
2001;Unprovoked;USA;Swimming;M;Child;N;Evening;Medium
2008;Unprovoked;USA;Swimming;F;Child;N;Midday;Small
1987;Unprovoked;VANUATU;Swimming;M;Child;Y;Midday;Medium
1966;Unprovoked;PAPUA NEW GUINEA;Swimming;F;Child;Y;Morning;Medium
2005;Unprovoked;USA;Swimming;M;Child;N;Morning;Medium
2002;Unprovoked;USA;Surfing;F;Child;N;Afternoon;Small
1998;Unprovoked;USA;Swimming;M;Child;Y;Afternoon;Medium
1947;Unprovoked;AUSTRALIA;Fishing;M;Child;N;Afternoon;Small
2010;Provoked;SPAIN;Swimming;M;Child;N;Evening;Small
1994;Provoked;USA;Swimming;F;Child;N;Midday;Medium
1966;Unprovoked;NEW BRITAIN;Diving;F;Child;Y;Midday;Medium
2013;Unprovoked;USA;Fishing;M;Child;N;Midday;Small
2015;Unprovoked;FRENCH POLYNESIA;Fishing;M;Child;N;Morning;Small
2013;Unprovoked;USA;Surfing;M;Child;N;Morning;Small
2011;Unprovoked;USA;Surfing;F;Child;N;Afternoon;Small
2013;Unprovoked;USA;Surfing;F;Child;N;Afternoon;Small
1991;Unprovoked;USA;Swimming;F;Child;N;Afternoon;Small
1995;Unprovoked;USA;Swimming;F;Child;N;Afternoon;Small
2015;Unprovoked;USA;Swimming;F;Child;N;Afternoon;Small
2013;Unprovoked;USA;Surfing;M;Child;N;Afternoon;Medium
1938;Unprovoked;IRAQ;Swimming;M;Child;N;Afternoon;Medium
1956;Unprovoked;USA;Swimming;M;Child;N;Afternoon;Medium
2001;Unprovoked;USA;Swimming;M;Child;Y;Afternoon;Medium
2014;Unprovoked;USA;Surfing;M;Child;N;Afternoon;Small
2011;Unprovoked;AUSTRALIA;Swimming;M;Child;N;Afternoon;Small
1999;Unprovoked;USA;Swimming;M;Child;N;Afternoon;Small
2018;Unprovoked;AUSTRALIA;Swimming;M;Child;N;Afternoon;Small
1962;Unprovoked;PAPUA NEW GUINEA;Swimming;M;Child;Y;Evening;Medium
2010;Unprovoked;USA;Swimming;F;Child;N;Morning;Small
2003;Provoked;USA;Swimming;M;Child;N;Morning;Small
1992;Unprovoked;USA;Surfing;M;Child;N;Morning;Medium
2006;Unprovoked;NEW ZEALAND;Surfing;M;Child;N;Morning;Medium
2009;Unprovoked;USA;Swimming;M;Child;N;Morning;Small
2010;Unprovoked;USA;Swimming;M;Child;N;Morning;Small
1973;Unprovoked;BAHAMAS;Diving;M;Child;N;Afternoon;Medium
2016;Unprovoked;AUSTRALIA;Swimming;M;Child;N;Afternoon;Small
2004;Unprovoked;USA;Fishing;M;Child;N;Evening;Medium
2007;Unprovoked;USA;Surfing;M;Child;N;Evening;Small
2012;Unprovoked;AUSTRALIA;Surfing;M;Child;N;Midday;Medium
2003;Unprovoked;USA;Swimming;M;Child;N;Midday;Small
1962;Unprovoked;USA;Navigating;M;Child;N;Morning;Small
2015;Unprovoked;USA;Swimming;M;Child;N;Morning;Small
1993;Unprovoked;USA;Swimming;F;Teenager;N;Afternoon;Medium
2015;Unprovoked;USA;Swimming;F;Teenager;N;Afternoon;Medium
2003;Unprovoked;USA;Surfing;F;Teenager;N;Afternoon;Small
2000;Unprovoked;USA;Swimming;F;Teenager;N;Afternoon;Small
1880;Unprovoked;AUSTRALIA;Swimming;M;Teenager;Y;Afternoon;Medium
1975;Unprovoked;AUSTRALIA;Swimming;M;Teenager;Y;Afternoon;Medium
1995;Unprovoked;USA;Surfing;M;Teenager;N;Afternoon;Small
1997;Unprovoked;USA;Surfing;M;Teenager;N;Afternoon;Small
1958;Unprovoked;USA;Swimming;M;Teenager;N;Afternoon;Small
2013;Unprovoked;USA;Swimming;M;Teenager;N;Afternoon;Small
2015;Unprovoked;USA;Swimming;M;Teenager;N;Afternoon;Small
1989;Unprovoked;USA;Surfing;M;Teenager;N;Evening;Small
2007;Unprovoked;USA;Surfing;M;Teenager;N;Midday;Medium
2001;Unprovoked;USA;Surfing;M;Teenager;N;Midday;Small
2015;Unprovoked;USA;Swimming;M;Teenager;N;Midday;Small
2016;Unprovoked;AUSTRALIA;Swimming;M;Teenager;N;Midday;Small
2007;Unprovoked;USA;Swimming;F;Teenager;N;Morning;Big
1994;Unprovoked;USA;Swimming;F;Teenager;N;Morning;Small
1997;Unprovoked;USA;Surfing;M;Teenager;N;Morning;Medium
2003;Unprovoked;USA;Surfing;M;Teenager;N;Morning;Medium
2001;Unprovoked;USA;Surfing;M;Teenager;N;Morning;Small
1987;Unprovoked;USA;Swimming;M;Teenager;N;Morning;Small
2009;Unprovoked;AUSTRALIA;Surfing;F;Teenager;N;Afternoon;Big
2017;Unprovoked;SOUTH AFRICA;Surfing;F;Teenager;N;Afternoon;Medium
2014;Unprovoked;USA;Surfing;F;Teenager;N;Afternoon;Small
1985;Unprovoked;USA;Swimming;F;Teenager;N;Afternoon;Small
2000;Unprovoked;USA;Swimming;F;Teenager;N;Afternoon;Small
1984;Unprovoked;USA;Swimming;F;Teenager;N;Afternoon;Small
2004;Unprovoked;USA;Swimming;F;Teenager;N;Afternoon;Small
2010;Unprovoked;USA;Swimming;F;Teenager;N;Afternoon;Small
2007;Unprovoked;AUSTRALIA;Swimming;F;Teenager;N;Afternoon;Small
1936;Unprovoked;AUSTRALIA;Swimming;M;Teenager;Y;Afternoon;Big
1985;Unprovoked;ITALY;Diving;M;Teenager;N;Afternoon;Medium
1966;Unprovoked;AUSTRALIA;Swimming;M;Teenager;N;Afternoon;Medium
1960;Unprovoked;AUSTRALIA;Diving;M;Teenager;Y;Afternoon;Medium
1955;Unprovoked;AUSTRALIA;Fishing;M;Teenager;Y;Afternoon;Medium
1962;Unprovoked;SOUTH AFRICA;Swimming;M;Teenager;Y;Afternoon;Medium
1949;Unprovoked;AUSTRALIA;Swimming;M;Teenager;Y;Afternoon;Medium
1969;Unprovoked;USA;Surfing;M;Teenager;N;Afternoon;Small
1998;Unprovoked;USA;Swimming;M;Teenager;N;Afternoon;Small
2016;Unprovoked;USA;Swimming;M;Teenager;N;Afternoon;Small
2017;Unprovoked;USA;Swimming;M;Teenager;N;Afternoon;Small
1934;Unprovoked;AUSTRALIA;Swimming;F;Teenager;N;Evening;Small
1963;Provoked;SOUTH AFRICA;Fishing;M;Teenager;N;Evening;Small
1961;Unprovoked;SOUTH AFRICA;Surfing;M;Teenager;N;Evening;Medium
2002;Unprovoked;USA;Surfing;M;Teenager;N;Evening;Small
1980;Unprovoked;MEXICO;Surfing;F;Teenager;N;Midday;Medium
1966;Unprovoked;NEW BRITAIN;Swimming;F;Teenager;Y;Midday;Medium
2013;Unprovoked;USA;Surfing;F;Teenager;N;Midday;Small
2015;Unprovoked;USA;Surfing;F;Teenager;N;Midday;Small
2003;Unprovoked;USA;Surfing;F;Teenager;N;Morning;Medium
1966;Unprovoked;PAPUA NEW GUINEA;Swimming;F;Teenager;Y;Morning;Medium
2014;Unprovoked;AUSTRALIA;Surfing;F;Teenager;N;Morning;Small
2008;Unprovoked;USA;Swimming;M;Teenager;N;Morning;Medium
2015;Unprovoked;REUNION;Surfing;M;Teenager;Y;Morning;Medium
1919;Unprovoked;AUSTRALIA;Swimming;M;Teenager;Y;Morning;Medium
1940;Unprovoked;AUSTRALIA;Swimming;M;Teenager;Y;Morning;Medium
1962;Unprovoked;SOUTH AFRICA;Swimming;M;Teenager;N;Morning;Small
2015;Unprovoked;USA;Swimming;M;Teenager;N;Morning;Small
1998;Unprovoked;USA;Swimming;F;Teenager;N;Afternoon;Small
